corpus,id,titulo
LINS,12,Cantor da noite
LINS,13,Choro das águas
LINS,14,Daquilo que eu sei
LINS,15,Depois dos temporais
LINS,16,"Dinorah, Dinorah"
LINS,17,Doce presença
LINS,18,Essa maré
LINS,19,Fogueiras
LINS,20,Guarde nos olhos
LINS,21,Iluminados
LINS,22,Ituverava
LINS,23,Joana dos Barcos
LINS,24,Lembra
LINS,25,Lembra de mim
LINS,26,Leva e traz
LINS,27,Madalena
LINS,28,Meu país
LINS,29,Mudança de ventos
LINS,30,"Na areia, na beira do mar"
LINS,31,Novo tempo
LINS,32,O amor é o meu país
LINS,33,Porta entreaberta
LINS,34,Quadras de roda
LINS,35,Rio de maio
LINS,36,Saindo de mim
LINS,37,Sertaneja
LINS,38,Soberana Rosa
LINS,39,Tens
LINS,40,Um fado
LINS,41,Velas içadas
LINS,42,Vitoriosa
LINS,43,Antes que seja tarde
LINS,44,Arlequim desconhecido
LINS,45,Aparecida
LINS,46,Camaleão
LINS,47,Bonito
LINS,48,Bandeira do Divino
LINS,49,Coragem mulher
LINS,50,Cartomante
LOBO,01,Abandono
LOBO,02,Acalanto
LOBO,03,A História de Lilly Braun
LOBO,04,Águaverde
LOBO,05,Arrastão
LOBO,06,Arpoador
LOBO,07,As Mesmas Histórias
LOBO,08,Ave Rara
LOBO,09,Beatriz
LOBO,10,Borandá
LOBO,11,Branca Dias
LOBO,12,Candeias
LOBO,13,Canção da terra
LOBO,14,Casa forte
LOBO,15,Canudos
LOBO,16,Canto triste
LOBO,17,Chegança
LOBO,18,Choro bandido
LOBO,19,Cidade nova
LOBO,20,Considerando
LOBO,21,Corrida de jangada
LOBO,22,Corrupião
LOBO,23,Descompassado
LOBO,24,Dono do lugar
LOBO,25,Dos navegantes
LOBO,26,Frevo diabo
LOBO,27,Lero-lero
LOBO,28,Meia-noite
LOBO,29,Memórias de Marta Sare
LOBO,30,Meu namorado
LOBO,31,Pra você que chora
LOBO,32,Perambulando
LOBO,33,Reza
LOBO,34,Viola fora de moda
LOBO,35,Vento bravo
LOBO,36,Meus pensamentos de mágoa
LOBO,37,Na carreira
LOBO,38,Zanzibar
LOBO,39,Só me fez bem
LOBO,40,Senhora do rio
LOBO,41,Na ilha de Lia, no barco de Rosa
LOBO,42,Zanga zangada
LOBO,43,Sobre todas as coisas
LOBO,44,Upa neguinho
LOBO,45,No cordão da saideira
LOBO,46,O sertão
LOBO,47,Zambi
LOBO,48,Ponteio
LOBO,49,Pianinho
LOBO,50,Pra dizer adeus
MILTON,01,A sede do peixe
MILTON,02,A terceira margem do rio
MILTON,03,Amor amigo
MILTON,04,Cais
MILTON,05,Canção amiga
MILTON,06,Catavento
MILTON,07,Caçanga
MILTON,08,Clube da Esquina 2
MILTON,09,Coração civil
MILTON,10,Credo
MILTON,11,Crença
MILTON,12,Dança dos meninos
MILTON,13,E daí
MILTON,14,Maria Maria
MILTON,15,Maria três filhos
MILTON,16,Milagre dos peixes
MILTON,17,Morro Velho
MILTON,18,Nada será como antes
MILTON,19,Olha
MILTON,20,Os povos
MILTON,21,Outubro
MILTON,22,Pietà
MILTON,23,Primeiro de maio
MILTON,24,Rio vermelho
MILTON,25,River Phoenix
MILTON,26,Roupa nova
MILTON,27,Saudades dos aviões da Panair
MILTON,28,Tarde
MILTON,29,Tema de Tostão
MILTON,30,Travessia
MILTON,31,Três Pontas
MILTON,32,Tristesse
MILTON,33,Um gosto de sol
MILTON,34,Vera Cruz
MILTON,35,Vida
MILTON,36,Vidro e corte
MILTON,37,Pelo amor de Deus
MILTON,38,Cravo e canela
MILTON,39,Saídas e bandeiras
MILTON,40,San Vicente
MILTON,41,A lágrima e o rio
MILTON,42,Ao que vai nascer
MILTON,43,Cadê
MILTON,44,Coisas de Minas
MILTON,45,O cavaleiro
MILTON,46,Estrelada
MILTON,47,Gira girou
MILTON,48,Leila
MILTON,49,Lília
MILTON,50,Novena
RITA,01,Agora é moda
RITA,02,Agora só falta você
RITA,03,Bandido coração
RITA,04,Banho de espuma
RITA,05,Bwana
RITA,06,Com a boca no mundo
RITA,07,Dançar pra não dançar
RITA,08,Desculpe o auê
RITA,09,Doce vampiro
RITA,10,Esse tal de Roque Enrow
RITA,11,Flagra
RITA,12,Jardins da Babilônia
RITA,13,Mamãe natureza
RITA,14,Menino bonito
RITA,15,Miss Brasil 2000
RITA,16,Mutante
RITA,17,Ovelha negra
RITA,18,Pega rapaz
RITA,19,Saúde
RITA,20,Shangri-lá
RITA,21,Te contei
RITA,22,Vote em mim
RITA,23,Chega mais
RITA,24,Alô alô marciano
RITA,25,Ando meio desligado
RITA,26,Arrombou a festa
RITA,27,Baila comigo
RITA,28,Balada do louco
RITA,29,Barata tonta
RITA,30,Brazil com "S"
RITA,31,Caso sério
RITA,32,Cor de rosa choque
RITA,33,Eu e o meu gato
RITA,34,Lança perfume
RITA,35,Mania de você
RITA,36,Nem luxo nem lixo
RITA,37,Orra meu
RITA,38,Papai me empresta o carro
RITA,39,Perigosa
