corpus,musica,0,1,2,3,4,5,6,7,8,9,10,11
CAETANO,15,56,0,0,3,12,0,59,0,11,10,0,0
CAETANO,16,55,0,0,18,5,0,46,0,5,19,0,0
CAETANO,17,35,0,0,0,5,0,15,0,5,0,0,0
CAETANO,18,23,0,0,23,0,0,22,0,0,22,0,0
CAETANO,19,28,0,0,20,4,0,29,0,4,27,0,0
CAETANO,20,54,0,0,0,0,0,33,0,0,0,0,0
CAETANO,21,65,0,0,1,1,0,58,0,1,0,0,0
CAETANO,22,48,0,0,0,9,0,24,0,9,2,0,0
CAETANO,23,8,0,0,14,0,0,12,0,0,21,0,0
CAETANO,24,34,0,0,0,0,0,44,0,0,0,0,0
CAETANO,25,12,0,0,19,0,0,21,0,0,16,0,0
CAETANO,26,30,0,0,15,9,0,7,0,9,16,0,0
CAETANO,27,51,0,0,18,8,0,31,0,8,16,0,0
CAETANO,28,57,0,0,0,0,0,45,0,0,0,0,0
CAETANO,29,23,0,0,11,0,0,20,0,0,11,0,0
CAETANO,30,58,0,0,0,18,0,18,0,18,0,0,0
CAETANO,31,23,0,0,26,2,0,38,0,2,35,0,0
CAETANO,32,62,0,0,0,19,0,51,0,19,0,0,0
CAETANO,33,38,0,0,0,0,0,34,0,0,7,0,0
CAETANO,34,47,0,0,50,1,0,39,0,1,49,0,0
CAETANO,35,34,0,0,11,10,0,12,0,10,21,0,0
CAETANO,36,27,0,0,7,7,0,7,0,7,13,0,0
CAETANO,37,49,0,0,0,3,0,43,0,3,1,0,0
CAETANO,38,45,0,0,13,13,0,23,0,13,17,0,0
CAETANO,39,24,0,0,0,14,0,13,0,14,0,0,0
CAETANO,40,30,0,0,0,0,0,0,0,0,20,0,0
CAETANO,41,23,0,0,27,0,0,21,0,0,28,0,0
CAETANO,42,33,0,0,0,6,0,9,0,6,0,0,0
CAETANO,43,16,0,0,39,0,0,15,0,0,44,0,0
CAETANO,44,22,0,0,17,0,0,11,0,0,16,0,0
CAETANO,45,49,0,0,44,0,0,44,0,0,38,0,0
CAETANO,46,33,0,0,29,0,0,22,0,0,37,0,0
CAETANO,47,31,0,0,0,10,0,21,0,10,0,0,0
CAETANO,48,24,0,0,15,0,0,5,0,0,18,0,0
CAETANO,49,28,0,0,29,0,0,28,0,0,36,0,0
CHICO,01,98,0,0,0,0,0,132,0,0,0,0,0
CHICO,02,24,0,0,43,1,0,35,0,1,50,0,0
CHICO,03,25,0,0,28,1,0,23,0,1,33,0,0
CHICO,04,16,0,0,19,5,0,16,0,3,19,0,0
CHICO,05,30,0,0,28,2,0,7,0,2,55,0,0
CHICO,06,23,0,0,58,4,0,14,0,4,51,0,0
CHICO,07,80,0,0,53,0,0,29,0,0,86,0,0
CHICO,08,44,0,0,0,23,0,0,0,23,0,0,0
CHICO,09,42,0,0,0,0,0,41,0,0,0,0,0
CHICO,10,25,0,0,21,8,0,12,0,8,30,0,0
CHICO,11,20,0,0,58,0,0,16,0,0,58,0,0
CHICO,12,39,0,0,52,0,0,52,0,0,39,0,0
CHICO,13,36,0,0,36,0,0,12,0,0,39,0,0
CHICO,14,23,0,0,12,5,0,6,0,5,19,0,0
CHICO,15,39,0,0,3,15,0,14,0,15,3,0,0
CHICO,16,45,0,0,0,11,0,35,0,11,0,0,0
CHICO,17,28,0,0,32,3,0,8,0,3,44,0,0
CHICO,18,43,0,0,0,0,0,36,0,0,0,0,0
CHICO,19,6,0,0,23,0,0,9,0,0,30,0,0
CHICO,20,34,0,0,0,15,0,25,0,15,0,0,0
CHICO,21,44,0,0,0,0,0,34,0,0,0,0,0
CHICO,22,52,0,0,0,8,0,49,0,8,0,0,0
CHICO,23,26,0,0,69,0,0,20,0,0,73,0,0
CHICO,24,16,0,0,27,0,0,12,0,0,34,0,0
CHICO,25,50,0,0,0,0,0,40,0,0,0,0,0
CHICO,26,12,0,0,17,0,0,13,0,0,22,0,0
CHICO,27,36,0,0,0,0,0,44,0,0,0,0,0
CHICO,28,36,0,0,34,0,0,33,0,0,40,0,0
CHICO,29,26,0,0,22,3,0,37,0,3,40,0,0
CHICO,30,24,0,0,0,8,0,39,0,8,0,0,0
CHICO,31,47,0,0,0,1,0,78,0,1,0,0,0
CHICO,32,32,0,0,16,12,0,24,0,12,30,0,0
CHICO,33,42,0,0,0,1,0,42,0,1,0,0,0
CHICO,34,29,0,0,33,0,0,22,0,0,41,0,0
CHICO,35,52,0,0,1,31,0,16,0,33,1,0,0
CHICO,36,25,0,0,31,1,0,31,0,1,36,0,0
CHICO,37,23,0,0,33,0,0,14,0,0,41,0,0
CHICO,38,29,0,0,22,2,0,20,0,2,28,0,0
CHICO,39,30,0,0,35,0,0,13,0,0,31,0,0
CHICO,40,47,0,0,2,1,0,25,0,1,24,0,0
CHICO,41,47,0,0,2,1,0,25,0,1,24,0,0
CHICO,42,57,0,0,0,8,0,39,0,8,0,0,0
CHICO,43,38,0,0,0,6,0,34,0,6,0,0,0
CHICO,44,44,0,0,14,0,0,42,0,0,12,0,0
CHICO,45,38,0,0,0,8,0,31,0,8,0,0,0
CHICO,46,16,0,0,39,0,0,13,0,0,45,0,0
CHICO,47,19,0,0,34,0,0,13,0,0,39,0,0
CHICO,48,13,0,0,22,0,0,33,0,0,22,0,0
CHICO,49,17,0,0,19,0,0,1,0,0,18,0,0
CHORO,01,83,0,0,48,0,0,77,0,0,64,0,0
CHORO,02,93,0,0,81,0,0,83,0,0,87,0,0
CHORO,03,133,0,0,0,0,0,66,0,0,0,0,0
CHORO,04,91,0,0,115,4,0,15,0,4,123,0,0
CHORO,05,45,0,0,42,0,0,43,0,0,50,0,0
CHORO,06,70,0,0,83,0,0,75,0,0,80,0,0
CHORO,07,58,0,3,48,4,0,38,0,14,38,13,0
CHORO,08,82,0,0,65,0,0,80,0,0,74,0,0
CHORO,09,68,0,0,59,0,0,40,0,0,69,0,0
